Date,Time,Latitude,Hemisphere (N-S),Longitude,Hemisphere (E-W),Pitch,Roll,Heading,x_Acc,y_Acc,z_Acc,x_Gyro,y_Gyro,z_Gyro,Voltage
17/11/21,16:16:14,5131.7935,N,3.6820,W,0.0763,0.0799,238.46,-0.0062,0.0549,0.9539,0.4883,-0.1831,-0.4272,7.7710
17/11/21,16:16:20,5131.7925,N,3.6807,W,0.1519,0.1604,206.37,-0.0052,0.0560,0.9556,0.3662,-0.0610,-0.1831,7.9129
17/11/21,16:16:26,5131.7925,N,3.6807,W,0.2279,0.2410,168.82,-0.0050,0.0554,0.9553,0.6104,0.0610,-0.3052,7.8065
17/11/21,16:16:32,5131.7925,N,3.6809,W,0.3045,0.3211,299.98,-0.0063,0.0552,0.9539,0.7324,0.1221,-0.3052,7.7355
17/11/21,16:16:38,5131.7925,N,3.6816,W,0.3810,0.4012,292.47,-0.0055,0.0549,0.9540,0.4883,0.1221,-0.4272,7.7000
17/11/21,16:16:44,5131.7920,N,3.6822,W,0.4572,0.4814,254.04,-0.0054,0.0551,0.9548,0.5493,-0.0610,-0.4272,7.7355
17/11/21,16:16:50,5131.7920,N,3.6825,W,0.5337,0.5612,164.37,-0.0051,0.0544,0.9537,0.3662,0.0610,-0.3052,7.7710
17/11/21,16:16:56,5131.7920,N,3.6823,W,0.6102,0.6414,58.96,-0.0054,0.0552,0.9561,0.4883,0.2441,-0.3662,7.7355
17/11/21,16:17:2,5131.7925,N,3.6813,W,0.6866,0.7217,69.72,-0.0056,0.0554,0.9548,0.5493,0.3052,-0.4272,7.8419
17/11/21,16:17:8,5131.7930,N,3.6786,W,0.7631,0.8015,52.79,-0.0063,0.0551,0.9545,0.5493,-0.1221,-0.3052,7.7000
17/11/21,16:17:14,5131.7925,N,3.6781,W,0.8393,0.8815,77.60,-0.0055,0.0551,0.9548,0.3662,-0.0610,-0.4272,7.8419
17/11/21,16:17:20,5131.7925,N,3.6776,W,0.9151,0.9618,127.03,-0.0051,0.0554,0.9557,0.4272,-0.1221,-0.3052,7.8774
17/11/21,16:17:26,5131.7925,N,3.6775,W,0.9913,1.0422,5.45,-0.0056,0.0555,0.9559,0.5493,0.1831,-0.4272,7.7000
17/11/21,16:17:33,5131.7930,N,3.6778,W,1.0677,1.1224,21.20,-0.0051,0.0552,0.9547,0.4883,0.2441,-0.4272,7.8065
17/11/21,16:17:41,5131.7930,N,3.6791,W,1.1436,1.2023,339.03,-0.0057,0.0554,0.9557,0.2441,-0.1831,-0.3052,7.7000
17/11/21,16:17:46,5131.7930,N,3.6798,W,1.2203,1.2823,267.86,-0.0060,0.0551,0.9552,0.6104,0.1221,-0.3662,7.8065
17/11/21,16:17:52,5131.7930,N,3.6797,W,1.2966,1.3623,351.11,-0.0052,0.0548,0.9547,0.5493,-0.0610,-0.3662,7.6645
17/11/21,16:17:59,5131.7935,N,3.6813,W,1.3732,1.4422,314.55,-0.0049,0.0542,0.9551,0.6104,0.0610,-0.3662,7.8065
17/11/21,16:18:5,5131.7935,N,3.6816,W,1.4497,1.5217,319.41,-0.0055,0.0544,0.9545,0.3662,-0.1831,-0.1831,7.7000
17/11/21,16:18:11,5131.7935,N,3.6811,W,1.5254,1.6024,76.38,-0.0046,0.0553,0.9554,0.6104,0.0000,-0.1221,7.7000
17/11/21,16:18:17,5131.7935,N,3.6801,W,1.6016,1.6822,81.09,-0.0049,0.0546,0.9550,0.3662,-0.1221,-0.4883,7.7355
17/11/21,16:18:23,5131.7930,N,3.6772,W,1.6780,1.7620,82.04,-0.0054,0.0548,0.9552,0.4272,0.0000,-0.3052,7.8419
17/11/21,16:18:29,5131.7935,N,3.6769,W,1.7549,1.8416,63.38,-0.0057,0.0546,0.9548,0.5493,0.1221,-0.5493,7.7355
17/11/21,16:18:35,5131.7939,N,3.6759,W,1.8307,1.9220,44.29,-0.0050,0.0554,0.9539,0.4272,0.0000,-0.3662,7.8065
17/11/21,16:18:41,5131.7939,N,3.6735,W,1.9075,2.0020,90.63,-0.0054,0.0547,0.9541,0.7324,0.3052,-0.1831,7.8065
17/11/21,16:18:47,5131.7939,N,3.6723,W,1.9838,2.0822,62.72,-0.0055,0.0552,0.9540,0.5493,0.0610,-0.3662,7.7355
17/11/21,16:18:53,5131.7944,N,3.6714,W,2.0601,2.1620,78.24,-0.0057,0.0552,0.9545,0.3662,0.0000,-0.4272,7.7000
17/11/21,16:18:59,5131.7944,N,3.6701,W,2.1359,2.2422,70.81,-0.0044,0.0548,0.9519,0.4272,0.0000,-0.3052,7.8065
17/11/21,16:19:5,5131.7949,N,3.6696,W,2.2127,2.3216,7.08,-0.0057,0.0546,0.9543,0.4883,-0.0610,-0.3052,7.9839
