Date,Time,Latitude,Hemisphere (N-S),Longitude,Hemisphere (E-W),Pitch,Roll,Heading,x_Acc,y_Acc,z_Acc,x_Gyro,y_Gyro,z_Gyro,Voltage
17/11/21,16:19:15,5131.7954,N,3.6706,W,2.2888,2.4018,307.87,-0.0050,0.0551,0.9563,0.4883,0.1221,-0.2441,7.8065
17/11/21,16:19:21,5131.7949,N,3.6709,W,2.3651,2.4816,253.56,-0.0061,0.0552,0.9547,0.5493,-0.1831,-0.4272,7.7710
17/11/21,16:19:27,5131.7949,N,3.6713,W,2.4419,2.5611,285.03,-0.0050,0.0544,0.9552,0.4272,0.1831,-0.3662,7.8419
17/11/21,16:19:33,5131.7949,N,3.6719,W,2.5182,2.6411,256.15,-0.0049,0.0548,0.9546,0.4272,0.1831,-0.3662,7.7355
17/11/21,16:19:39,5131.7949,N,3.6729,W,2.5928,2.7222,284.98,-0.0049,0.0558,0.9539,0.4883,-0.3052,-0.2441,7.6290
17/11/21,16:19:45,5131.7954,N,3.6732,W,2.6685,2.8026,16.23,-0.0051,0.0554,0.9543,0.4272,0.0610,-0.4272,7.8065
17/11/21,16:19:51,5131.7949,N,3.6738,W,2.7447,2.8825,179.74,-0.0050,0.0548,0.9547,0.4883,0.0000,-0.3052,7.7355
17/11/21,16:19:57,5131.7949,N,3.6746,W,2.8206,2.9620,294.76,-0.0042,0.0542,0.9543,0.2441,-0.3052,-0.3662,7.8065
17/11/21,16:20:3,5131.7949,N,3.6752,W,2.8788,3.0688,279.19,-0.0421,0.1229,0.9526,8.9111,4.3945,-15.3198,7.8065
17/11/21,16:20:8,5131.7954,N,3.6753,W,2.9772,3.1186,260.05,-0.0205,0.0457,0.9543,0.4883,0.0610,-0.2441,7.7710
