Date,Time,Latitude,Hemisphere (N-S),Longitude,Hemisphere (E-W),Pitch,Roll,Heading,x_Acc,y_Acc,z_Acc,x_Gyro,y_Gyro,z_Gyro,Voltage
17/11/21,16:29:36,5131.8115,N,3.6972,W,0.0629,0.0596,133.01,-0.2906,0.2410,0.8896,-15.9912,-11.7798,-14.1602,7.7710
17/11/21,16:29:39,5131.8110,N,3.6954,W,0.1360,-0.0025,141.12,-0.1115,-0.1263,0.5314,-1.8921,-16.1133,1.2207,7.6290
17/11/21,16:29:43,5131.8086,N,3.6962,W,0.2170,0.0312,149.39,-0.2362,0.0669,0.7783,-7.8125,-16.9678,-29.5410,7.8774
17/11/21,16:29:47,5131.8066,N,3.6957,W,0.2961,0.1408,151.09,0.0245,0.0482,0.9010,17.8223,10.7422,21.7896,7.6645
17/11/21,16:29:51,5131.8057,N,3.6917,W,0.3717,0.2211,143.50,-0.2345,0.1877,0.6973,3.5400,-3.4180,-40.7715,7.7000
17/11/21,16:29:54,5131.8052,N,3.6895,W,0.4659,0.2965,136.23,-0.0397,0.0466,1.2048,7.6294,5.1880,-17.9443,7.7710
17/11/21,16:29:58,5131.8008,N,3.6886,W,0.5610,0.3609,147.34,-0.2284,0.1344,1.2997,-0.7324,5.2490,-11.9629,7.7710
17/11/21,16:30:2,5131.7954,N,3.6891,W,0.6842,0.3526,162.56,0.0037,-0.0200,1.1272,-10.1318,10.7422,-30.8838,7.6645
17/11/21,16:30:6,5131.7920,N,3.6880,W,0.7682,0.3447,166.13,-0.2549,-0.0192,1.0220,-8.5449,-21.6675,22.1558,7.7710
17/11/21,16:30:9,5131.7905,N,3.6871,W,0.8068,0.2514,171.20,-0.1058,-0.2777,0.8242,3.2959,-10.7422,6.1035,7.7710
17/11/21,16:30:13,5131.7910,N,3.6825,W,0.8680,0.3367,109.30,-0.0120,0.0559,0.7537,2.3804,-10.2539,25.0854,7.7355
17/11/21,16:30:17,5131.7905,N,3.6807,W,0.9089,0.2280,112.78,0.0415,-0.0898,0.6993,-12.3291,-14.4043,-15.5640,7.8419
17/11/21,16:30:20,5131.7896,N,3.6793,W,0.8965,0.1249,128.29,0.1075,-0.0966,1.0914,5.3101,2.5635,-18.0664,7.7355
17/11/21,16:30:23,5131.7886,N,3.6781,W,0.9059,0.2254,136.44,0.0753,0.1294,0.7557,-8.2397,-1.6479,40.6494,7.6645
17/11/21,16:30:27,5131.7876,N,3.6759,W,0.9825,0.1335,136.61,-0.0203,-0.1245,1.0746,-2.9297,9.6436,28.8086,7.6290
17/11/21,16:30:31,5131.7871,N,3.6733,W,1.0557,0.2152,128.18,-0.0962,0.0594,1.2971,13.4277,-12.5732,-27.4048,7.8065
17/11/21,16:30:34,5131.7871,N,3.6716,W,1.0737,0.1249,121.59,-0.0034,-0.2383,0.9033,12.9395,-10.8032,-3.4180,7.6645
17/11/21,16:30:38,5131.7861,N,3.6698,W,1.0440,0.2316,132.10,0.1437,0.2063,0.6991,-3.3569,-13.3667,61.0962,7.8419
17/11/21,16:30:41,5131.7866,N,3.6667,W,1.1560,0.2531,123.04,-0.1785,-0.0151,1.0370,12.2070,1.7090,3.4180,7.8419
17/11/21,16:30:45,5131.7847,N,3.6657,W,1.2550,0.2646,127.91,-0.1714,-0.0394,0.8091,16.2354,-8.9111,14.7705,7.7000
17/11/21,16:30:46,5131.7842,N,3.6652,W,1.2175,0.3733,130.72,0.2671,0.2134,1.0002,7.3853,9.5825,37.9028,7.7000
17/11/21,16:30:52,5131.7900,N,3.6517,W,1.2637,0.2465,80.46,0.0450,-0.1935,1.1187,-14.1602,26.1841,-20.3857,7.7355
17/11/21,16:30:56,5131.7905,N,3.6465,W,1.3554,0.2955,89.42,-0.1560,0.0427,0.5526,3.8452,-7.8125,38.8184,7.7355
17/11/21,16:30:59,5131.7891,N,3.6435,W,1.4018,0.3679,177.09,-0.1462,0.3346,1.1510,-25.2075,4.9438,10.0708,7.8774
17/11/21,16:31:3,5131.7866,N,3.6412,W,1.4093,0.2749,188.23,0.0825,-0.0458,0.9987,14.3433,14.2822,-15.8691,7.7355
17/11/21,16:31:7,5131.7842,N,3.6373,W,1.4797,0.3678,180.95,-0.0394,0.0955,0.5585,1.3428,5.4932,57.6172,7.8065
17/11/21,16:31:11,5131.7832,N,3.6333,W,1.5650,0.4429,146.54,-0.3094,0.2587,0.8859,-5.3711,9.8877,-22.2168,7.7710
17/11/21,16:31:14,5131.7817,N,3.6305,W,1.6457,0.3923,145.48,-0.0094,-0.0573,0.9180,5.4932,-10.8032,17.5781,7.6645
17/11/21,16:31:18,5131.7778,N,3.6298,W,1.7436,0.4481,179.27,-0.0724,0.0475,0.6338,-7.5073,6.7749,49.1333,7.7355
17/11/21,16:31:22,5131.7744,N,3.6288,W,1.8354,0.5182,176.92,-0.2875,0.1786,0.9399,-1.0376,6.9580,-26.0010,7.7000
17/11/21,16:31:26,5131.7715,N,3.6272,W,1.9525,0.5822,177.21,-0.1566,0.0680,1.2267,3.7231,20.2026,8.8501,7.6290
17/11/21,16:31:29,5131.7705,N,3.6242,W,2.0437,0.6070,126.88,-0.2538,-0.0038,0.5875,10.3149,-14.7095,58.2886,7.8065
17/11/21,16:31:33,5131.7715,N,3.6185,W,2.1229,0.6897,89.34,-0.1810,0.1580,0.8425,1.7700,4.1504,-28.2593,7.7355
17/11/21,16:31:37,5131.7739,N,3.6105,W,2.2505,0.6041,61.05,-0.0767,-0.0907,1.0471,-10.4980,37.4756,-1.7090,7.6290
17/11/21,16:31:41,5131.7759,N,3.6039,W,2.2210,0.7234,64.39,0.1119,0.2280,1.0270,7.0190,-9.8267,40.7715,7.7000
17/11/21,16:31:44,5131.7783,N,3.5989,W,2.2847,0.7966,52.23,-0.1097,0.0955,0.6422,-1.8921,-13.1226,-22.1558,7.6645
