,Latitude,Longitude,Heading
0,51.53059833333334,-0.06632833333333334,155.25
1,51.53059833333334,-0.06632666666666667,169.44
2,51.53059833333334,-0.06632,50.92
3,51.53059833333334,-0.06631666666666666,23.64
4,51.53059833333334,-0.06631833333333333,7.82
5,51.53060666666667,-0.06632166666666667,323.71
6,51.53062333333334,-0.06631000000000001,93.03
7,51.53063999999999,-0.06630333333333334,5.87
8,51.53064833333333,-0.06629666666666666,5.37
9,51.53064833333333,-0.066295,218.3
10,51.53064833333333,-0.066295,344.79
11,51.53064833333333,-0.066295,296.56
12,51.53064833333333,-0.066295,326.03
13,51.53064833333333,-0.066295,151.22
14,51.53064833333333,-0.066295,112.41
15,51.53063999999999,-0.06628833333333334,119.6
16,51.53063999999999,-0.06628666666666666,62.48
17,51.53063999999999,-0.06628666666666666,271.82
18,51.53063999999999,-0.06628666666666666,191.58
19,51.53063999999999,-0.06628666666666666,253.48
20,51.53063166666667,-0.066285,214.61
21,51.53063166666667,-0.06628333333333333,167.3
22,51.53063166666667,-0.06628333333333333,336.55
23,51.53063166666667,-0.06628333333333333,80.22
24,51.53063166666667,-0.06628333333333333,21.5
25,51.53062333333334,-0.06627833333333334,221.97
26,51.53062333333334,-0.06627166666666667,73.15
27,51.53062333333334,-0.06626666666666667,222.0
28,51.530615000000004,-0.06626333333333333,244.63
29,51.530615000000004,-0.06626166666666666,308.54
30,51.53060666666667,-0.06625333333333333,69.92
31,51.53060666666667,-0.06625,140.99
32,51.53060666666667,-0.066245,115.18
33,51.53060666666667,-0.06623666666666667,350.26
34,51.53059833333334,-0.066235,66.74
35,51.53059833333334,-0.066235,208.07
36,51.53059833333334,-0.066235,0.0
37,51.53059833333334,-0.066235,293.45
38,51.53059833333334,-0.06623833333333333,148.81
39,51.53059833333334,-0.06624000000000001,279.43
40,51.53059833333334,-0.06624000000000001,187.62
41,51.53059833333334,-0.06624000000000001,175.71
42,51.53059833333334,-0.06624000000000001,71.32
43,51.53059833333334,-0.06624000000000001,93.25
44,51.53059833333334,-0.06624000000000001,215.05
45,51.53059833333334,-0.06624000000000001,151.22
