Elapsed Time (s),Long accel (g),Lat accel (g),Vert accel (g),Roll--Euler (deg),Pitch--Euler (deg),Yaw--Euler (deg),Latitude,Longitude,Speed (kts),Course (deg),GPS Time,Flagged
1.601,0.4384796,-0.050986,0.1128436,-8.301889956,21.29779493,248.5796356,50.14787116,-5.057777827,2.797082646,314.9771572,2021-11-17T13:20:22.246Z,N
1.652,0.4486768,0,-0.070706,-7.81897168,20.88459411,248.5796356,50.14787116,-5.057777827,2.797082646,314.9771572,2021-11-17T13:20:22.297Z,N
1.717,0.4996628,0.0611832,-0.1012976,-8.627222109,21.38914188,248.5796356,50.14787116,-5.057777827,2.797082646,314.9771572,2021-11-17T13:20:22.362Z,N
1.752,0.4180852,0.0917748,-0.427608,-8.196531728,20.67601379,248.5796356,50.14787116,-5.057777827,2.797082646,314.9771572,2021-11-17T13:20:22.397Z,N
1.801,0.25493,-0.101972,-0.4378052,-7.32413814,18.78206041,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.446Z,N
1.851,0.3263104,0.1223664,0.0516604,-7.213979142,19.60096593,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.496Z,N
1.901,0.25493,0.0917748,0.1230408,-7.230664441,19.38160075,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.546Z,N
1.955,0.1835496,-0.050986,0.439154,-6.723641574,18.52795517,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.600Z,N
2.001,0.2855216,-0.0407888,0.4595484,-7.028368753,18.58117259,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.646Z,N
2.053,0.3365076,0.050986,0.3269848,-8.871680553,18.66960817,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.698Z,N
2.101,0.3772964,0.0407888,0.1740268,-10.40023419,18.71927902,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.746Z,N
2.152,0.3874936,0.203944,-0.121692,-12.32591636,18.80376163,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.797Z,N
2.228,0.305916,0.1937468,-0.3562276,-13.91511866,18.18342678,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.873Z,N
2.254,0.305916,0.152958,-0.3868192,-13.09055774,16.21774275,249.4974976,50.14786923,-5.057787191,2.797082646,314.9771572,2021-11-17T13:20:22.899Z,N
2.303,0.2447328,0.152958,-0.631552,-13.1685696,13.96876126,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:22.948Z,N
2.351,0.2141412,0.2345356,-0.01972,-12.79461333,13.81838952,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:22.996Z,N
2.401,0.1835496,0.2651272,0.0720548,-12.77622646,14.34959723,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:23.046Z,N
2.452,0.2243384,0.203944,0.4085624,-13.36947363,14.41587056,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:23.097Z,N
