,Latitude,Longitude,Heading,,51.529111,-0.059452,,,dinstance (m),,
,,,,,,,,,,1.17479E-18,
,,,,,,,,,,1.67275E-20,
,,,,,,,,,,1.91763E-22,
,,,,,,,,,,1.76997E-24,
,,,,,,,,,,1.31532E-26,
,,,,,,,,,,7.86973E-29,
,,,,,,,,,,3.791E-31,
,,,,,,,,,,1.47032E-33,
,,,,,,,,,,4.59129E-36,
,,,,,,,,,,1.15431E-38,
,,,,,,,,,,2.33654E-41,
,,,,,,,,,,3.80794E-44,
,,,,,,,,,,4.99656E-47,
,,,,,,,,,,5.27857E-50,
,,,,,,,,,,4.48979E-53,
,,,,,,,,,,3.07468E-56,
,,,,,,,,,,1.69527E-59,
,,,,,,,,,,7.52563E-63,
,,,,,,,,,,2.68974E-66,
,,,,,,,,,,7.74004E-70,
,,,,,,,,,,1.79325E-73,
,,,,,,,,,,3.34504E-77,
,,,,,,,,,,5.02375E-81,
,,,,,,,,,,6.07461E-85,
,,,,,,,,,,5.91389E-89,
,,,,,,,,,,4.63546E-93,
