,Latitude,Longitude,Heading
0,51.52913333333333,-0.05946166666666666,120.38
1,51.52912666666666,-0.05946,191.92
2,51.52912666666666,-0.05946833333333333,308.59
3,51.52912666666666,-0.059471666666666666,217.05
4,51.52911833333333,-0.05947499999999999,282.14
5,51.52912666666666,-0.05950166666666667,236.08
6,51.52912666666666,-0.05952333333333334,118.08
7,51.52912666666666,-0.05952,188.12
8,51.52912666666666,-0.05951833333333333,47.51
9,51.52912666666666,-0.059515,93.11
10,51.52913333333333,-0.05950166666666667,101.0
11,51.52913333333333,-0.059495,81.2
12,51.52913333333333,-0.05949166666666667,101.05
13,51.52914166666666,-0.05948666666666667,269.06
14,51.52914166666666,-0.05948666666666667,270.34
15,51.52913333333333,-0.05948166666666667,133.36
16,51.52912666666666,-0.059476666666666664,44.67
17,51.52912666666666,-0.059478333333333334,125.37
18,51.52913333333333,-0.05948333333333333,349.65
19,51.52913333333333,-0.059471666666666666,205.32
20,51.52912666666666,-0.05948666666666667,231.78
21,51.52911833333333,-0.05949,281.77
22,51.52911000000001,-0.059485,176.43
23,51.529093333333336,-0.05944666666666667,93.66
24,51.529085,-0.05942833333333333,329.1
25,51.529085,-0.05942833333333333,220.29
26,51.529085,-0.05943166666666667,356.06
27,51.529093333333336,-0.05943,344.8
28,51.529093333333336,-0.05942833333333333,178.01
29,51.529093333333336,-0.05943166666666667,354.29
30,51.529093333333336,-0.05943333333333333,356.22
31,51.52910166666667,-0.059436666666666665,351.31
32,51.52910166666667,-0.05946,343.15
33,51.52910166666667,-0.05945833333333333,83.45
34,51.52910166666667,-0.059455,191.31
35,51.52911000000001,-0.059443333333333334,200.17
36,51.52911833333333,-0.05943333333333333,343.4
37,51.529149999999994,-0.05945333333333334,357.69
38,51.52916666666667,-0.05948666666666667,291.64
39,51.52916666666667,-0.0595,279.83
40,51.52916666666667,-0.05951,303.32
41,51.529175,-0.059515,276.28
42,51.529175,-0.05952166666666667,212.45
43,51.529175,-0.059495,92.84
44,51.52916666666667,-0.05946,147.74
45,51.52916666666667,-0.05942166666666667,89.43
46,51.52916666666667,-0.05942166666666667,347.19
47,51.529175,-0.05941333333333333,45.22
48,51.529175,-0.059403333333333336,48.29
