Latitude,Longitude,Course (deg),GPS Time
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:49.963Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.018Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.068Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.119Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.170Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.220Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.271Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.321Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.372Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.423Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.472Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.525Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.576Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.626Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.676Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.728Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.779Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.833Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.882Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.933Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:50.983Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.035Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.086Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.140Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.189Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.239Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.289Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.342Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.393Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.443Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.493Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.543Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.594Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.644Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.695Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.745Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.796Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.847Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.900Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.948Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:51.998Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.050Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.103Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.152Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.202Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.252Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.302Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.353Z
