Date,Time,Latitude,Hemisphere (N-S),Longitude,Hemisphere (E-W),Pitch,Roll,Heading,x_Acc,y_Acc,z_Acc,x_Gyro,y_Gyro,z_Gyro,Voltage
11/11/21,16:50:24,5131.9243,N,3.5831,W,-6.7051,1.7385,178.2670,0.1686,-0.1050,0.9391,18.7378,-2.6245,19.2871,7.7000
11/11/21,16:50:30,5131.9238,N,3.5849,W,-6.8941,1.6894,178.0297,0.3007,0.0649,0.8861,-10.1929,-9.2163,-23.9868,7.8774
11/11/21,16:50:36,5131.9243,N,3.5870,W,-7.0652,1.9581,177.9614,0.1824,0.1405,0.9182,17.4561,-11.9629,-5.4932,7.8065
11/11/21,16:50:42,5131.9258,N,3.5871,W,-7.1359,2.0586,177.9728,0.2434,0.1730,0.8998,2.2583,0.4272,2.1973,7.7710
11/11/21,16:50:48,5131.9253,N,3.5864,W,-7.2924,2.0153,177.9699,0.2283,-0.1483,0.9803,5.3101,-10.6201,-1.1597,7.8774
11/11/21,16:50:54,5131.9248,N,3.5861,W,-7.5671,1.8492,177.5933,0.3618,-0.0249,0.9064,-19.7754,-18.7988,-38.5742,7.8065
11/11/21,16:51:0,5131.9253,N,3.5867,W,-7.6721,1.8572,177.5895,0.3473,0.0244,0.8828,0.9766,0.4272,-0.4272,7.7710
11/11/21,16:51:6,5131.9258,N,3.5871,W,-7.7772,1.8599,177.5807,0.3411,0.0115,0.8849,1.0376,0.3662,-1.0376,7.8419
11/11/21,16:51:12,5131.9258,N,3.5871,W,-7.6869,1.9083,177.3242,-0.0051,0.2170,0.9796,-7.6294,1.7090,-25.2686,7.8419
11/11/21,16:51:18,5131.9258,N,3.5863,W,-7.7990,2.0170,177.2771,0.2634,0.1077,0.7476,5.4932,-1.7090,-4.0894,7.8065
11/11/21,16:51:24,5131.9263,N,3.5832,W,-8.0697,2.0836,177.1964,0.3353,0.0822,0.7063,3.1128,-17.3950,-7.3242,7.8065
11/11/21,16:51:30,5131.9253,N,3.5851,W,-8.2152,2.1202,177.1010,0.2850,0.0792,0.6188,-0.7324,-4.5776,-9.2163,7.7000
11/11/21,16:51:36,5131.9224,N,3.5840,W,-7.8435,2.0793,177.2352,0.3077,-0.1115,1.5409,7.8125,44.2505,10.7422,7.9129
11/11/21,16:51:41,5131.9209,N,3.5860,W,-7.9210,1.9559,177.5300,0.2332,-0.1755,0.7119,0.7935,-0.6714,29.1138,7.8065
11/11/21,16:51:47,5131.9180,N,3.5851,W,-8.1230,1.8794,177.4643,0.3933,-0.0347,0.7733,-6.5308,-10.1318,-6.7749,7.8419
11/11/21,16:51:53,5131.9155,N,3.5833,W,-8.0570,2.0045,177.3884,0.1569,0.1212,0.9680,0.7935,8.9111,-6.5308,7.7000
11/11/21,16:51:59,5131.9136,N,3.5786,W,-8.2592,2.0036,177.2793,0.2615,0.0105,0.7523,-0.5493,-10.1318,-11.0474,7.7355
11/11/21,16:52:5,5131.9136,N,3.5746,W,-8.4334,2.0863,177.1541,0.2767,0.1409,0.6771,0.4883,-9.0942,-11.6577,7.7355
11/11/21,16:52:10,5131.9136,N,3.5689,W,-8.3019,2.0625,177.1782,0.4366,-0.0846,1.3529,3.4790,23.6206,0.7935,7.7710
11/11/21,16:52:16,5131.9131,N,3.5607,W,-8.3540,2.1661,177.1042,0.3816,0.1530,0.7677,4.8828,4.5776,-7.0801,7.7710
11/11/21,16:52:22,5131.9165,N,3.5507,W,-8.5904,2.1109,177.2359,0.2046,-0.0371,0.8759,3.9673,-15.7471,13.0005,7.7355
11/11/21,16:52:28,5131.9141,N,3.5459,W,-8.6980,2.1407,177.3227,0.5513,0.0751,0.9569,3.3569,0.4272,9.0942,7.8774
11/11/21,16:52:34,5131.9038,N,3.5474,W,-8.9128,2.1347,176.9943,0.2391,0.0677,0.7900,-9.3384,-12.8174,-32.7759,7.6290
11/11/21,16:52:40,5131.8940,N,3.5529,W,-8.6530,2.2593,177.0266,0.4531,0.1763,1.1667,8.4839,37.2925,2.6855,7.8065
11/11/21,16:52:45,5131.8887,N,3.5532,W,-8.8462,2.2467,177.1053,0.3533,-0.0547,0.8807,4.2114,-9.2773,7.8125,7.8065
11/11/21,16:52:51,5131.8818,N,3.5546,W,-9.0150,2.2696,176.7746,0.2771,0.1541,0.9518,-10.5591,-10.4980,-32.4097,7.7710
11/11/21,16:52:57,5131.8750,N,3.5537,W,-9.0450,2.2815,176.8209,0.4498,-0.0024,0.9133,3.4180,8.3008,4.2114,7.6645
11/11/21,16:53:3,5131.8701,N,3.5524,W,-9.2800,2.3154,176.9533,0.2616,0.1057,0.7603,0.3662,-13.9160,15.0146,7.8419
11/11/21,16:53:9,5131.8667,N,3.5505,W,-9.5755,2.3442,177.1108,0.2825,0.0754,0.6996,2.6245,-19.1650,17.4561,7.8065
