Date,Time,Latitude,Hemisphere (N-S),Longitude,Hemisphere (E-W),Pitch,Roll,Heading,x_Acc,y_Acc,z_Acc,x_Gyro,y_Gyro,z_Gyro,Voltage
11/11/21,16:17:39,5131.8198,N,3.6266,W,0.1119,0.0047,179.9965,-0.2578,-0.0028,0.9271,0.6104,0.1831,-0.3662,7.9484
11/11/21,16:17:45,5131.8193,N,3.6275,W,0.2245,0.0068,179.9918,-0.2574,-0.0031,0.9279,0.3662,0.2441,-0.4883,7.8419
11/11/21,16:17:51,5131.8193,N,3.6270,W,0.3364,0.0091,179.9859,-0.2571,-0.0027,0.9291,0.3662,0.1831,-0.6104,7.9484
11/11/21,16:17:57,5131.8208,N,3.6231,W,0.4483,0.0141,179.9824,-0.2567,-0.0031,0.9290,0.6714,0.1831,-0.3662,8.0194
11/11/21,16:18:3,5131.8223,N,3.6195,W,0.5614,0.0165,179.9800,-0.2573,-0.0037,0.9282,0.4272,0.3052,-0.2441,7.8774
11/11/21,16:18:9,5131.8242,N,3.6128,W,0.6728,0.0203,179.9759,-0.2574,-0.0031,0.9285,0.5493,0.1221,-0.4272,7.9484
11/11/21,16:18:14,5131.8252,N,3.6113,W,0.7859,0.0249,179.9730,-0.2567,-0.0037,0.9291,0.6714,0.3052,-0.3052,7.9484
11/11/21,16:18:20,5131.8252,N,3.6117,W,0.8960,0.0278,179.9688,-0.2568,-0.0035,0.9286,0.4883,0.0000,-0.4272,7.8419
11/11/21,16:18:26,5131.8267,N,3.6086,W,1.0079,0.0322,179.9659,-0.2577,-0.0038,0.9288,0.6714,0.1831,-0.3052,7.8419
11/11/21,16:18:31,5131.8267,N,3.6093,W,1.1234,0.0367,179.9629,-0.2576,-0.0037,0.9277,0.6714,0.5493,-0.3052,7.9484
11/11/21,16:18:37,5131.8276,N,3.6067,W,1.2353,0.0415,179.9588,-0.2571,-0.0029,0.9280,0.6714,0.1831,-0.4272,7.8065
11/11/21,16:18:42,5131.8276,N,3.6068,W,1.3484,0.0470,179.9564,-0.2568,-0.0038,0.9277,0.7935,0.3052,-0.2441,7.9484
11/11/21,16:18:47,5131.8271,N,3.6082,W,1.4608,0.0501,179.9511,-0.2567,-0.0037,0.9282,0.5493,0.2441,-0.5493,7.8774
11/11/21,16:18:52,5131.8262,N,3.6112,W,1.5745,0.0557,179.9487,-0.2574,-0.0032,0.9288,0.7935,0.3662,-0.2441,7.8774
11/11/21,16:18:57,5131.8262,N,3.6121,W,1.7013,0.0815,179.7999,-0.3447,-0.1007,0.9246,6.5918,2.2583,-15.3809,7.8065
11/11/21,16:19:2,5131.8262,N,3.6111,W,2.0407,0.0015,179.5180,-0.1177,-0.5106,0.7896,3.9062,33.2031,-28.9917,7.9129
11/11/21,16:19:7,5131.8267,N,3.6089,W,2.0332,0.0765,179.4363,-0.0044,0.0613,0.9584,-2.1973,4.2114,-8.8501,7.8065
11/11/21,16:19:12,5131.8276,N,3.6052,W,1.8839,0.0934,179.4347,0.0021,0.0533,0.9648,-7.6294,-8.9722,-0.4883,7.9129
11/11/21,16:19:17,5131.8276,N,3.6058,W,1.7662,0.1955,179.4434,0.0009,0.0531,0.9681,0.9155,-6.1035,0.6104,7.8419
11/11/21,16:19:22,5131.8267,N,3.6078,W,1.6653,0.2215,179.4346,0.2351,0.0483,0.9200,0.7935,0.7935,-0.9766,7.9484
11/11/21,16:19:27,5131.8252,N,3.6093,W,1.8398,0.6949,179.0337,-0.1268,0.1240,1.1318,41.5039,10.7422,-42.0532,7.8065
11/11/21,16:19:32,5131.8262,N,3.6059,W,1.7617,0.7778,179.0338,-0.0049,0.0365,0.9556,0.6714,0.1221,-0.2441,7.9129
11/11/21,16:19:37,5131.8271,N,3.6016,W,1.4850,0.3249,178.7347,-0.0388,-0.3997,0.4381,-34.7900,-29.7852,-30.4565,7.7710
11/11/21,16:19:42,5131.8281,N,3.5990,W,2.3750,0.4834,178.2681,-0.8806,-0.2214,0.1716,20.9351,81.1157,-49.0112,7.9484
11/11/21,16:19:47,5131.8276,N,3.6001,W,2.4623,0.5160,178.3427,-0.9967,-0.0867,0.2534,4.0894,-2.2583,7.8125,8.0194
