Date,Time,Latitude,Hemisphere (N-S),Longitude,Hemisphere (E-W),Pitch,Roll,Heading,x_Acc,y_Acc,z_Acc,x_Gyro,y_Gyro,z_Gyro,Voltage
15/11/21,9:16:32,5131.8032,N,3.5922,W,0.0791,-0.0720,179.9964,-0.0333,-0.0343,0.9545,0.7324,0.2441,-0.3662,7.3097
15/11/21,9:16:36,5131.8022,N,3.5960,W,0.1585,-0.1431,179.9928,-0.0344,-0.0345,0.9554,0.7324,0.1831,-0.3662,7.3806
15/11/21,9:16:39,5131.8018,N,3.5981,W,0.2363,-0.2170,179.9884,-0.0337,-0.0349,0.9559,0.6104,0.1831,-0.4272,7.3806
15/11/21,9:16:42,5131.8013,N,3.6002,W,0.3157,-0.2898,179.9850,-0.0333,-0.0350,0.9561,0.7935,0.4272,-0.3052,7.3097
15/11/21,9:16:46,5131.8013,N,3.6012,W,0.3950,-0.3610,179.9816,-0.0343,-0.0345,0.9545,0.7935,0.2441,-0.3052,7.3806
15/11/21,9:16:48,5131.8008,N,3.6015,W,0.4740,-0.4320,179.9781,-0.0342,-0.0345,0.9557,0.8545,0.2441,-0.3052,7.3097
15/11/21,9:16:52,5131.8008,N,3.6019,W,0.5525,-0.5034,179.9756,-0.0343,-0.0348,0.9565,0.8545,0.2441,-0.1831,7.2742
15/11/21,9:16:56,5131.8008,N,3.6022,W,0.6306,-0.5774,179.9712,-0.0331,-0.0347,0.9559,0.7935,0.4272,-0.3662,7.2032
15/11/21,9:17:0,5131.8008,N,3.6024,W,0.7078,-0.6516,179.9672,-0.0328,-0.0352,0.9552,0.9155,0.4883,-0.3052,7.4871
15/11/21,9:17:3,5131.8013,N,3.6018,W,0.7854,-0.7227,179.9644,-0.0339,-0.0342,0.9570,0.9155,0.1831,-0.1831,7.2742
15/11/21,9:17:6,5131.8013,N,3.6012,W,0.8634,-0.7945,179.9591,-0.0334,-0.0342,0.9562,0.9766,0.3662,-0.4272,7.4161
15/11/21,9:17:10,5131.8008,N,3.6017,W,0.9402,-0.8680,179.9554,-0.0328,-0.0339,0.9548,0.9155,0.3662,-0.2441,7.2387
15/11/21,9:17:12,5131.7998,N,3.6027,W,1.0134,-0.9436,179.9510,-0.0328,-0.0345,0.9545,0.8545,0.1831,-0.3052,7.2387
15/11/21,9:17:16,5131.7993,N,3.6037,W,1.0895,-1.0172,179.9460,-0.0337,-0.0341,0.9543,0.7935,0.1831,-0.3662,7.3452
15/11/21,9:17:18,5131.7993,N,3.6050,W,1.1645,-1.0918,179.9431,-0.0337,-0.0349,0.9550,0.9155,0.3052,-0.1221,7.3097
15/11/21,9:17:22,5131.7988,N,3.6061,W,1.2399,-1.1663,179.9413,-0.0333,-0.0345,0.9557,0.9766,0.4272,0.0000,7.2387
15/11/21,9:17:26,5131.7983,N,3.6080,W,1.3175,-1.2402,179.9377,-0.0344,-0.0345,0.9558,0.7935,0.3662,-0.1831,7.3452
15/11/21,9:17:29,5131.7979,N,3.6089,W,1.3890,-1.3182,179.9332,-0.0330,-0.0347,0.9551,0.9155,0.3662,-0.2441,7.3452
15/11/21,9:17:33,5131.7969,N,3.6110,W,1.4631,-1.3944,179.9281,-0.0328,-0.0337,0.9563,0.9155,0.4272,-0.3052,7.2742
15/11/21,9:17:36,5131.7959,N,3.6122,W,1.5379,-1.4702,179.9234,-0.0338,-0.0343,0.9557,0.8545,0.3662,-0.2441,7.5581
15/11/21,9:17:40,5131.7954,N,3.6138,W,1.6016,-1.5527,179.9191,-0.0330,-0.0355,0.9557,0.9766,0.3052,-0.1831,7.3452
15/11/21,9:17:42,5131.7954,N,3.6143,W,1.6754,-1.6298,179.9124,-0.0338,-0.0345,0.9548,0.8545,0.4272,-0.4272,7.3097
15/11/21,9:17:46,5131.7944,N,3.6153,W,1.7323,-1.7193,179.9072,-0.0325,-0.0352,0.9563,0.6714,0.3052,-0.2441,7.2032
15/11/21,9:17:48,5131.7944,N,3.6165,W,1.7858,-1.8114,179.9011,-0.0320,-0.0348,0.9552,0.6714,0.4272,-0.3052,7.2742
15/11/21,9:17:52,5131.7954,N,3.6271,W,1.8556,-1.8912,179.8947,-0.0325,-0.0337,0.9550,0.7935,0.3052,-0.3662,7.2742
15/11/21,9:17:55,5131.7964,N,3.6347,W,1.9356,-1.9598,179.8904,-0.0341,-0.0345,0.9551,0.8545,0.1221,-0.1831,7.3097
15/11/21,9:17:58,5131.7974,N,3.6398,W,2.0078,-2.0351,179.8856,-0.0341,-0.0348,0.9553,0.9766,0.1831,-0.1831,7.3806
15/11/21,9:18:2,5131.7988,N,3.6434,W,1.9292,-2.0986,179.8824,-0.0326,-0.0348,0.9558,0.9766,0.4272,-0.0610,7.3097
15/11/21,9:18:6,5131.7998,N,3.6440,W,2.0418,-2.0831,179.8797,-0.0337,-0.0349,0.9561,0.6714,0.3052,-0.3052,7.3097
15/11/21,9:18:8,5131.8008,N,3.6435,W,1.9350,-2.0600,179.8772,-0.0336,-0.0347,0.9551,0.7935,0.2441,-0.3052,7.3097
15/11/21,9:18:12,5131.8027,N,3.6405,W,2.0476,-2.0428,179.8739,-0.0332,-0.0343,0.9556,0.9155,0.3052,-0.3662,7.3097
15/11/21,9:18:16,5131.8032,N,3.6401,W,1.9482,-2.0752,179.8688,-0.0330,-0.0345,0.9550,0.9155,0.3052,-0.3662,7.3806
15/11/21,9:18:19,5131.8032,N,3.6402,W,2.0517,-2.0254,179.8673,-0.0334,-0.0342,0.9546,0.6714,0.2441,-0.3052,7.3806
15/11/21,9:18:23,5131.8032,N,3.6403,W,1.9817,-2.1017,179.8619,-0.0333,-0.0348,0.9546,0.7324,0.2441,-0.2441,7.3806
15/11/21,9:18:27,5131.8032,N,3.6402,W,1.8910,-2.0374,179.8591,-0.0319,-0.0343,0.9552,0.6714,0.3052,-0.4883,7.3097
15/11/21,9:18:31,5131.8032,N,3.6405,W,1.9958,-1.9896,179.8580,-0.0330,-0.0334,0.9556,0.7935,0.2441,-0.2441,7.2742
15/11/21,9:18:34,5131.8032,N,3.6408,W,1.9990,-2.0910,179.8518,-0.0333,-0.0347,0.9553,0.9155,0.2441,-0.2441,7.4516
15/11/21,9:18:38,5131.8032,N,3.6413,W,2.1080,-2.1102,179.8507,-0.0337,-0.0350,0.9579,0.8545,0.2441,0.0000,7.2387
15/11/21,9:18:42,5131.8027,N,3.6420,W,2.0146,-2.0504,179.8507,-0.0326,-0.0338,0.9559,0.7935,0.3662,-0.1831,7.2742
15/11/21,9:18:46,5131.8027,N,3.6434,W,1.9209,-2.0988,179.8458,-0.0331,-0.0345,0.9558,0.7324,0.1831,-0.3052,7.3452
15/11/21,9:18:49,5131.8027,N,3.6443,W,2.0332,-2.1043,179.8452,-0.0331,-0.0352,0.9561,0.7935,0.3052,0.0000,7.4161
15/11/21,9:18:53,5131.8018,N,3.6456,W,1.9565,-2.0213,179.8466,-0.0331,-0.0343,0.9567,0.7935,0.3662,-0.1221,7.3452
15/11/21,9:18:57,5131.8022,N,3.6456,W,2.0496,-2.0764,179.8436,-0.0338,-0.0345,0.9558,0.9155,0.3662,-0.0610,7.3452
15/11/21,9:19:1,5131.8022,N,3.6454,W,1.9420,-2.0817,179.8407,-0.0332,-0.0348,0.9561,0.8545,0.1831,-0.2441,7.3452
15/11/21,9:19:4,5131.8022,N,3.6460,W,2.0536,-2.0813,179.8376,-0.0336,-0.0348,0.9556,0.6104,0.1831,-0.3052,7.3097
15/11/21,9:19:8,5131.8018,N,3.6466,W,1.9568,-2.1243,179.8328,-0.0331,-0.0353,0.9546,0.6714,0.1831,-0.3052,7.2387
15/11/21,9:19:12,5131.8018,N,3.6464,W,1.9434,-2.0061,179.8341,-0.0325,-0.0344,0.9540,0.9766,0.3052,-0.2441,7.2742
15/11/21,9:19:16,5131.8022,N,3.6458,W,2.0193,-2.0814,179.8282,-0.0330,-0.0341,0.9558,0.7935,0.3662,-0.3052,7.2387
15/11/21,9:19:19,5131.8027,N,3.6453,W,1.9130,-2.0883,179.8246,-0.0331,-0.0348,0.9550,0.8545,0.3052,-0.3052,7.3097
15/11/21,9:19:23,5131.8057,N,3.6405,W,2.0191,-2.0414,179.8229,-0.0337,-0.0342,0.9559,0.7324,0.3662,-0.3052,7.3097
15/11/21,9:19:27,5131.8091,N,3.6358,W,1.9531,-2.1188,179.8169,-0.0333,-0.0347,0.9572,0.9155,0.3052,-0.3052,7.2742
15/11/21,9:19:31,5131.8105,N,3.6336,W,1.8870,-2.0244,179.8173,-0.0323,-0.0350,0.9543,0.8545,0.2441,-0.2441,7.4516
15/11/21,9:19:34,5131.8115,N,3.6322,W,1.9934,-2.0531,179.8137,-0.0331,-0.0343,0.9550,0.7324,0.2441,-0.2441,7.3097
15/11/21,9:19:38,5131.8125,N,3.6301,W,2.0621,-2.1337,179.8075,-0.0337,-0.0348,0.9569,0.7935,0.3052,-0.3052,7.4161
15/11/21,9:19:42,5131.8140,N,3.6278,W,1.9927,-2.0410,179.8069,-0.0333,-0.0343,0.9550,0.9155,0.1831,-0.3662,7.3097
15/11/21,9:19:46,5131.8149,N,3.6261,W,1.9307,-2.1220,179.7997,-0.0330,-0.0344,0.9548,0.9155,0.2441,-0.4272,7.2742
