Date,Time,Latitude,Hemisphere (N-S),Longitude,Hemisphere (E-W),Pitch,Roll,Heading,x_Acc,y_Acc,z_Acc,x_Gyro,y_Gyro,z_Gyro,Voltage
16/11/21,11:49:6,5131.8037,N,3.6096,W,0.0654,0.0763,179.9959,0.0061,0.0513,0.9567,0.6104,0.0610,-0.4883,8.0548
16/11/21,11:49:12,5131.8037,N,3.6096,W,0.1309,0.1520,179.9930,0.0055,0.0515,0.9545,0.5493,0.0610,-0.3662,7.9129
16/11/21,11:49:18,5131.8042,N,3.6092,W,0.1950,0.2304,179.9911,0.0063,0.0529,0.9543,0.7935,0.0000,-0.2441,7.9839
16/11/21,11:49:24,5131.8042,N,3.6092,W,0.2603,0.3063,179.9878,0.0059,0.0520,0.9545,0.5493,0.0610,-0.4272,8.0194
16/11/21,11:49:30,5131.8047,N,3.6099,W,0.3261,0.3812,179.9851,0.0072,0.0511,0.9553,0.4272,0.1221,-0.3662,7.9484
16/11/21,11:49:36,5131.8047,N,3.6107,W,0.3925,0.4585,179.9836,0.0067,0.0513,0.9553,0.7324,0.1831,-0.2441,8.0548
16/11/21,11:49:42,5131.8062,N,3.6115,W,0.4589,0.5348,179.9820,0.0065,0.0515,0.9547,0.6104,0.1831,-0.2441,7.9839
16/11/21,11:49:48,5131.8071,N,3.6128,W,0.5254,0.6119,179.9786,0.0073,0.0519,0.9554,0.6714,0.2441,-0.4883,8.0903
16/11/21,11:49:54,5131.8076,N,3.6138,W,0.5917,0.6868,179.9757,0.0071,0.0516,0.9559,0.4272,0.1831,-0.4272,8.0548
16/11/21,11:50:0,5131.8076,N,3.6149,W,0.6597,0.7646,179.9750,0.0061,0.0518,0.9558,0.7935,0.3662,-0.1831,7.9129
16/11/21,11:50:6,5131.8076,N,3.6154,W,0.7267,0.8409,179.9738,0.0063,0.0519,0.9541,0.6104,0.2441,-0.2441,8.0194
16/11/21,11:50:12,5131.8076,N,3.6163,W,0.7919,0.9167,179.9717,0.0074,0.0514,0.9553,0.5493,0.0610,-0.3662,8.0548
16/11/21,11:50:18,5131.8081,N,3.6194,W,0.8578,0.9920,179.9697,0.0068,0.0508,0.9551,0.5493,0.0610,-0.3662,8.0548
16/11/21,11:50:24,5131.8081,N,3.6230,W,0.9239,1.0686,179.9682,0.0060,0.0519,0.9552,0.6714,0.1221,-0.3052,7.9484
16/11/21,11:50:30,5131.8081,N,3.6258,W,0.9911,1.1431,179.9663,0.0055,0.0514,0.9548,0.4883,0.1831,-0.3662,7.9129
16/11/21,11:50:36,5131.8076,N,3.6277,W,1.0564,1.2200,179.9640,0.0071,0.0519,0.9561,0.6714,0.0610,-0.4272,8.0194
16/11/21,11:50:42,5131.8076,N,3.6285,W,1.1239,1.2968,179.9623,0.0062,0.0514,0.9554,0.7324,0.2441,-0.3662,7.9839
16/11/21,11:50:48,5131.8076,N,3.6291,W,1.1913,1.3721,179.9608,0.0062,0.0516,0.9552,0.5493,0.2441,-0.3662,7.9839
16/11/21,11:50:54,5131.8076,N,3.6295,W,1.2573,1.4467,179.9592,0.0072,0.0507,0.9558,0.4883,0.0610,-0.3662,8.0903
16/11/21,11:51:0,5131.8071,N,3.6302,W,1.3244,1.5223,179.9562,0.0065,0.0513,0.9553,0.6104,0.1831,-0.5493,7.8774
16/11/21,11:51:6,5131.8076,N,3.6308,W,1.3895,1.5973,179.9548,0.0063,0.0521,0.9543,0.4883,0.0000,-0.3662,7.8774
16/11/21,11:51:12,5131.8076,N,3.6310,W,1.4558,1.6742,179.9525,0.0073,0.0511,0.9545,0.7324,0.1221,-0.4883,7.9129
16/11/21,11:51:18,5131.8081,N,3.6311,W,1.5222,1.7489,179.9508,0.0073,0.0511,0.9553,0.4883,0.1221,-0.4272,7.8774
16/11/21,11:51:24,5131.8081,N,3.6312,W,1.5885,1.8242,179.9492,0.0076,0.0519,0.9545,0.4883,0.1831,-0.4272,7.9484
16/11/21,11:51:30,5131.8081,N,3.6316,W,1.6535,1.8993,179.9486,0.0068,0.0514,0.9543,0.5493,-0.0610,-0.3052,8.0548
