Date,Time,Latitude,Hemisphere (N-S),Longitude,Hemisphere (E-W),Pitch,Roll,Heading,x_Acc,y_Acc,z_Acc,x_Gyro,y_Gyro,z_Gyro,Voltage
11/11/21,16:22:57,5131.7983,N,3.5763,W,2.3716,0.4241,178.4163,0.0717,-0.2361,1.1912,0.3662,-4.2725,8.1177,7.8419
11/11/21,16:23:3,5131.7974,N,3.5804,W,2.2015,0.2909,178.6850,0.0010,-0.0881,0.8466,-4.2725,-13.4277,28.4424,7.8419
11/11/21,16:23:9,5131.7969,N,3.5833,W,1.9468,0.1688,179.0965,0.0618,-0.2708,0.8651,-3.4180,-22.5830,43.2739,7.8419
11/11/21,16:23:15,5131.7954,N,3.5875,W,2.0120,0.3799,179.2663,0.2167,0.2152,1.1453,14.0381,15.6860,17.3340,7.8419
11/11/21,16:23:21,5131.7930,N,3.5941,W,2.0736,0.3632,179.8249,-0.2294,-0.1104,0.8602,1.9531,-3.1128,58.2886,7.8774
11/11/21,16:23:27,5131.7910,N,3.5983,W,2.1783,0.5735,179.7482,-0.1681,0.2065,0.6898,12.8174,4.2114,-8.3618,7.9484
11/11/21,16:23:33,5131.7896,N,3.6020,W,1.5707,0.5845,179.3117,-0.0083,0.3472,0.8322,-8.7891,-62.8662,-45.1660,7.8774
11/11/21,16:23:39,5131.7876,N,3.6093,W,1.4106,0.7398,179.3248,0.0150,0.0862,0.7488,5.6763,-11.9019,1.2207,7.8774
11/11/21,16:23:45,5131.7876,N,3.6121,W,1.5714,0.8534,179.1846,0.1722,0.1287,1.0720,6.4697,26.4282,-15.0757,7.8065
11/11/21,16:23:51,5131.7886,N,3.6136,W,1.4431,0.6981,179.4808,0.0197,-0.0455,0.7550,-7.6294,-6.2866,31.1279,8.0194
11/11/21,16:23:57,5131.7881,N,3.6168,W,1.1400,0.5873,179.5848,0.1324,-0.1738,0.8756,-2.9907,-24.0479,11.2915,7.7710
11/11/21,16:24:3,5131.7896,N,3.6207,W,1.0574,0.5061,179.6562,0.1593,-0.0829,1.0215,-3.2959,1.6479,7.5073,7.9129
11/11/21,16:24:9,5131.7939,N,3.6187,W,0.9513,0.4144,179.2256,0.0063,-0.0295,0.8882,1.0376,-5.4321,-44.5557,7.7710
11/11/21,16:24:14,5131.7964,N,3.6200,W,1.0413,0.5131,179.0892,0.2585,0.1168,1.0475,6.2866,19.8975,-14.4043,7.8774
11/11/21,16:24:20,5131.7974,N,3.6243,W,1.1670,0.6068,179.0435,-0.0784,0.3641,1.1208,-1.4648,11.1694,-5.0659,7.8065
11/11/21,16:24:26,5131.7930,N,3.6329,W,0.8943,0.4872,179.1654,0.0945,-0.1451,0.9012,-3.4180,-21.4844,13.0615,7.7710
11/11/21,16:24:32,5131.7817,N,3.6511,W,0.9438,0.5934,178.7816,0.0001,0.0840,1.0365,0.4883,7.2021,-40.1611,7.9129
11/11/21,16:24:38,5131.7632,N,3.6809,W,0.8671,0.5897,178.6579,0.1567,-0.0570,0.9614,3.9673,2.5635,-12.8174,7.9839
11/11/21,16:24:44,5131.7583,N,3.6909,W,0.6935,0.5844,178.9282,0.1366,0.0400,0.6469,-3.4790,-6.5918,28.1372,7.9484
11/11/21,16:24:50,5131.7559,N,3.6977,W,1.1875,0.5237,178.8108,-0.2876,-0.0107,1.5059,-5.0049,39.8560,-12.5732,7.8419
11/11/21,16:24:56,5131.7544,N,3.7046,W,1.0234,0.6311,178.7239,0.0984,0.1047,0.6748,3.7842,-8.5449,-9.0942,7.7710
11/11/21,16:25:2,5131.7524,N,3.7113,W,0.8501,0.5326,179.0904,0.0703,-0.0651,0.6844,-3.2959,-9.0332,38.3301,7.8065
11/11/21,16:25:8,5131.7500,N,3.7174,W,1.1649,0.4452,179.1051,0.0590,-0.1295,1.4866,0.8545,38.3911,1.3428,7.8774
11/11/21,16:25:14,5131.7485,N,3.7237,W,1.0290,0.5278,178.8248,0.0641,0.0682,0.7559,2.0752,-5.3711,-29.2358,7.8419
